j1_ranking_normalizado;j1_porc_victorias;j1_aces_normalizado;j1_media_1servicioganado;j1_media_juegosganadosconservicio;j1_media_breakpointganados;j1_media_juegosganadosdevolviendo;j1_racha;j2_ranking_normalizado;j2_porc_victorias;j2_aces_normalizado;j2_media_1servicioganado;j2_media_juegosganadosconservicio;j2_media_breakpointganados;j2_media_juegosganadosdevolviendo;j2_racha;clase
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;1.0;0.31;0.17;0.68;0.75;0.34;0.18;0.17;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;1.0;0.6;0.14;0.75;0.78;0.28;0.15;0.67;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.6;0.47;0.1;0.7;0.73;0.46;0.26;0.5;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.6;0.73;0.07;0.63;0.7;0.48;0.33;0.83;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.4;0.7;0.08;0.68;0.78;0.38;0.32;0.67;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.4;0.73;0.65;0.73;0.84;0.48;0.28;0.83;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.2;0.82;0.31;0.72;0.81;0.43;0.33;1.0;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.2;0.79;0.32;0.74;0.87;0.43;0.34;1.0;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.6;0.73;0.07;0.63;0.7;0.48;0.33;0.83;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;1.0;0.63;0.41;0.75;0.79;0.42;0.2;0.5;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.2;0.79;0.32;0.74;0.87;0.43;0.34;1.0;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.2;0.57;0.53;0.75;0.86;0.51;0.3;0.5;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.2;0.67;0.47;0.76;0.88;0.43;0.28;0.67;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.6;0.53;0.53;0.72;0.71;0.37;0.28;0.67;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.4;0.53;0.19;0.69;0.75;0.41;0.24;0.83;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.2;0.79;0.32;0.74;0.87;0.43;0.34;1.0;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.4;0.73;0.65;0.73;0.84;0.48;0.28;0.83;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.8;0.55;0.2;0.64;0.71;0.47;0.39;0.5;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.6;0.53;0.53;0.72;0.71;0.37;0.28;0.67;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.8;0.55;0.29;0.67;0.77;0.45;0.28;0.5;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.4;0.57;0.58;0.8;0.92;0.36;0.16;0.5;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.6;0.11;0.03;0.62;0.79;0.46;0.35;0.0;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.4;0.6;0.44;0.73;0.84;0.36;0.24;0.67;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.6;0.57;0.24;0.71;0.81;0.39;0.26;0.5;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.2;0.73;0.26;0.69;0.78;0.44;0.28;0.83;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.2;0.82;0.31;0.72;0.81;0.43;0.33;1.0;L
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;1.0;0.53;0.0;0.0;0.0;0.0;0.0;0.67;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.8;0.41;0.32;0.75;0.83;0.37;0.17;0.67;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.2;0.79;0.32;0.74;0.87;0.43;0.34;1.0;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;1.0;0.46;0.15;0.64;0.71;0.36;0.21;0.33;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.8;0.55;0.2;0.64;0.71;0.47;0.39;0.5;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;1.0;0.66;0.14;0.71;0.79;0.46;0.26;0.83;W
0.2;0.94;0.24;0.75;0.89;0.52;0.47;1.0;0.8;0.46;0.2;0.71;0.74;0.3;0.16;0.83;W
