j1_ranking_normalizado,j1_porc_victorias,j1_aces_normalizado,j1_media_1servicioganado,j1_media_juegosganadosconservicio,j1_media_breakpointganados,j1_media_juegosganadosdevolviendo,j1_racha,j2_ranking_normalizado,j2_porc_victorias,j2_aces_normalizado,j2_media_1servicioganado,j2_media_juegosganadosconservicio,j2_media_breakpointganados,j2_media_juegosganadosdevolviendo,j2_racha,clase
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.4,0.53,0.33,0.72,0.82,0.49,0.22,0.5,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.8,0.68,0.25,0.72,0.78,0.4,0.29,0.67,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,1.0,0.43,0.05,0.64,0.68,0.41,0.24,0.67,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.2,0.64,0.2,0.71,0.83,0.45,0.31,0.67,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.8,0.37,0.11,0.66,0.69,0.41,0.23,0.17,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,1.0,0.45,0.12,0.74,0.77,0.33,0.15,0.5,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.6,0.66,0.25,0.73,0.82,0.36,0.17,0.67,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.8,0.43,0.15,0.76,0.78,0.37,0.16,0.5,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.4,0.55,0.75,0.8,0.84,0.4,0.2,0.83,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.4,0.53,0.33,0.72,0.82,0.49,0.22,0.5,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.4,0.54,0.2,0.68,0.78,0.38,0.27,0.67,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,1.0,0.61,0.06,0.71,0.74,0.46,0.2,0.83,L
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.8,0.68,0.25,0.72,0.78,0.4,0.29,0.67,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.2,0.66,0.64,0.77,0.86,0.42,0.23,0.5,L
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.6,0.48,0.24,0.77,0.85,0.33,0.17,0.5,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.6,0.5,0.09,0.68,0.79,0.38,0.18,0.33,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,1.0,0.61,0.06,0.71,0.74,0.46,0.2,0.83,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.2,0.79,0.1,0.74,0.88,0.45,0.32,0.67,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.6,0.45,0.34,0.71,0.78,0.44,0.25,0.67,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.4,0.64,0.96,0.78,0.9,0.33,0.12,0.5,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.6,0.42,0.33,0.71,0.81,0.38,0.2,0.5,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.8,0.6,0.04,0.66,0.64,0.34,0.26,0.67,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.4,0.37,0.2,0.72,0.81,0.43,0.28,0.5,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.6,0.49,0.18,0.7,0.76,0.35,0.19,0.67,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.8,0.43,0.11,0.73,0.8,0.35,0.16,0.33,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.6,0.42,0.33,0.71,0.81,0.38,0.2,0.5,W
0.2,0.88,0.46,0.75,0.89,0.48,0.37,1.0,0.6,0.52,0.1,0.65,0.68,0.42,0.21,0.17,W
0.2,0.79,0.1,0.74,0.88,0.45,0.32,0.67,0.8,0.53,0.02,0.72,0.75,0.3,0.08,0.67,W
0.2,0.79,0.1,0.74,0.88,0.45,0.32,0.67,0.6,0.56,0.47,0.77,0.84,0.36,0.17,0.67,L
