j1_ranking_normalizado,j1_porc_victorias,j1_aces_normalizado,j1_media_1servicioganado,j1_media_juegosganadosconservicio,j1_media_breakpointganados,j1_media_juegosganadosdevolviendo,j1_racha,j2_ranking_normalizado,j2_porc_victorias,j2_aces_normalizado,j2_media_1servicioganado,j2_media_juegosganadosconservicio,j2_media_breakpointganados,j2_media_juegosganadosdevolviendo,j2_racha,clase
0.2,0.83,0.64,0.78,0.91,0.45,0.28,0.83,0.6,0.33,0.32,0.76,0.87,0.34,0.17,0.17,W
0.2,0.0,0.17,0.76,0.83,0.54,0.22,0.0,0.8,0.33,0.24,0.71,0.83,0.46,0.21,0.17,L
0.2,0.83,0.64,0.78,0.91,0.45,0.28,0.83,1.0,0.71,0.02,0.58,0.6,0.29,0.18,0.83,W
0.2,0.83,0.64,0.78,0.91,0.45,0.28,0.83,0.6,0.6,0.25,0.74,0.85,0.58,0.2,0.5,W
0.2,0.83,0.64,0.78,0.91,0.45,0.28,0.83,0.4,0.71,0.27,0.8,0.94,0.42,0.13,0.83,W
0.2,0.83,0.64,0.78,0.91,0.45,0.28,0.83,0.2,0.75,0.19,0.8,0.88,0.41,0.13,0.83,W
0.2,0.83,0.64,0.78,0.91,0.45,0.28,0.83,0.2,1.0,0.86,0.77,0.92,0.38,0.25,1.0,L
0.2,0.75,0.3,0.76,0.9,0.44,0.26,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.33,W
0.2,0.75,0.3,0.76,0.9,0.44,0.26,0.5,0.4,0.5,0.25,0.73,0.87,0.3,0.13,0.5,W
0.2,0.75,0.3,0.76,0.9,0.44,0.26,0.5,0.8,0.67,0.42,0.76,0.83,0.27,0.1,0.83,W
0.2,0.75,0.3,0.76,0.9,0.44,0.26,0.5,0.8,0.67,0.66,0.76,0.85,0.42,0.25,0.67,L
0.2,1.0,0.86,0.77,0.92,0.38,0.25,1.0,0.8,0.7,0.31,0.73,0.8,0.41,0.23,0.67,W
0.2,1.0,0.86,0.77,0.92,0.38,0.25,1.0,0.8,0.33,0.25,0.73,0.8,0.37,0.12,0.17,W
0.2,1.0,0.86,0.77,0.92,0.38,0.25,1.0,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.33,W
0.2,1.0,0.86,0.77,0.92,0.38,0.25,1.0,0.4,0.78,0.26,0.72,0.82,0.35,0.22,0.83,W
0.2,1.0,0.86,0.77,0.92,0.38,0.25,1.0,0.4,0.75,0.36,0.76,0.86,0.38,0.14,0.83,W
0.2,1.0,0.86,0.77,0.92,0.38,0.25,1.0,0.6,0.75,0.31,0.83,0.91,0.35,0.13,0.5,W
0.2,1.0,0.86,0.77,0.92,0.38,0.25,1.0,0.2,0.83,0.64,0.78,0.91,0.45,0.28,0.83,W
0.2,1.0,0.86,0.77,0.92,0.38,0.25,1.0,1.0,0.86,0.35,0.75,0.86,0.47,0.19,0.83,W
0.2,1.0,0.86,0.77,0.92,0.38,0.25,1.0,0.6,0.17,0.16,0.65,0.75,0.29,0.11,0.17,W
0.2,1.0,0.86,0.77,0.92,0.38,0.25,1.0,0.8,0.7,0.31,0.73,0.8,0.41,0.23,0.67,W
0.2,1.0,0.86,0.77,0.92,0.38,0.25,1.0,0.2,0.67,0.85,0.79,0.94,0.38,0.15,0.67,W
0.2,1.0,0.86,0.77,0.92,0.38,0.25,1.0,0.4,0.71,0.51,0.74,0.85,0.44,0.25,0.83,W
0.2,0.83,0.92,0.77,0.91,0.38,0.25,0.83,0.8,0.0,0.01,0.78,0.82,1.0,0.09,0.0,W
0.2,0.83,0.92,0.77,0.91,0.38,0.25,0.83,1.0,0.4,0.12,0.68,0.83,0.44,0.2,0.33,L
0.2,0.83,0.92,0.77,0.91,0.38,0.25,0.83,1.0,0.33,0.09,0.68,0.77,0.18,0.14,0.17,W
0.2,0.83,0.92,0.77,0.91,0.38,0.25,0.83,1.0,0.67,0.02,0.71,0.67,0.0,0.0,0.33,W
0.2,0.83,0.92,0.77,0.91,0.38,0.25,0.83,0.4,0.71,0.27,0.8,0.94,0.42,0.13,0.83,W
0.2,0.83,0.92,0.77,0.91,0.38,0.25,0.83,0.4,0.78,0.26,0.72,0.82,0.35,0.22,0.83,W
0.2,0.75,0.19,0.8,0.88,0.41,0.13,0.83,0.6,0.33,0.13,0.7,0.79,0.24,0.14,0.17,W
0.2,0.75,0.19,0.8,0.88,0.41,0.13,0.83,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.17,W
0.2,0.75,0.19,0.8,0.88,0.41,0.13,0.83,0.6,0.33,0.47,0.74,0.86,0.21,0.07,0.17,W
0.2,0.75,0.19,0.8,0.88,0.41,0.13,0.83,0.8,0.57,0.12,0.68,0.78,0.25,0.14,0.67,W
0.2,0.75,0.19,0.8,0.88,0.41,0.13,0.83,0.2,0.83,0.64,0.78,0.91,0.45,0.28,0.83,L
0.2,0.75,0.19,0.8,0.88,0.41,0.13,0.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
0.2,0.75,0.19,0.8,0.88,0.41,0.13,0.83,0.8,0.6,0.21,0.74,0.84,0.28,0.1,0.5,W
0.2,0.75,0.19,0.8,0.88,0.41,0.13,0.83,0.4,0.71,0.51,0.74,0.85,0.44,0.25,0.83,L
0.4,0.67,0.14,0.72,0.78,0.43,0.17,0.67,0.8,0.7,0.24,0.73,0.81,0.42,0.24,0.67,L
0.4,0.67,0.14,0.72,0.78,0.43,0.17,0.67,0.8,0.33,0.24,0.71,0.83,0.46,0.21,0.17,W
0.4,0.67,0.14,0.72,0.78,0.43,0.17,0.67,0.8,0.33,0.11,0.69,0.82,0.24,0.11,0.17,W
0.4,0.67,0.14,0.72,0.78,0.43,0.17,0.67,0.6,0.6,0.25,0.74,0.85,0.58,0.2,0.5,W
