jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
1;Rafael Nadal;ESP;39;2;6;4;94;2.4;49;1.2;0.71;0.73;0.56;0.87;0.48;0.69;0.38;0.54;0.38
2;Novak Djokovic;SRB;15;3;6;1;62;4.1;15;1.0;0.68;0.71;0.58;0.83;0.45;0.59;0.36;0.54;0.34
3;David Ferrer;ESP;21;6;2;2;54;2.0;59;2.2;0.61;0.7;0.53;0.78;0.43;0.56;0.38;0.59;0.39
4;Andy Murray;GBR;5;3;4;1;31;5.2;9;1.5;0.56;0.69;0.49;0.71;0.29;0.57;0.35;0.46;0.22
5;Juan Martin  del Potro;ARG;2;2;0;2;16;4.0;8;2.0;0.62;0.7;0.42;0.76;0.5;0.56;0.3;0.5;0.29
6;Roger Federer;SUI;12;5;3;2;90;5.3;19;1.1;0.62;0.74;0.58;0.84;0.45;0.63;0.35;0.5;0.28
7;Tomas Berdych;CZE;9;6;4;3;95;6.3;27;1.8;0.61;0.73;0.47;0.79;0.41;0.59;0.31;0.5;0.25
8;Stan Wawrinka;SUI;24;7;3;5;166;5.4;73;2.4;0.64;0.73;0.55;0.86;0.38;0.67;0.32;0.52;0.27
9;Richard Gasquet;FRA;7;5;2;2;51;4.3;33;2.8;0.61;0.71;0.55;0.82;0.49;0.64;0.32;0.52;0.29
10;Jo-Wilfried Tsonga;FRA;12;4;5;3;72;5.1;20;1.4;0.63;0.74;0.55;0.86;0.45;0.65;0.35;0.48;0.25
11;Milos Raonic;CAN;8;6;4;6;135;11.3;29;2.4;0.62;0.76;0.54;0.9;0.39;0.7;0.32;0.43;0.17
12;Tommy Haas;GER;14;6;4;3;100;5.0;53;2.7;0.63;0.72;0.54;0.83;0.42;0.69;0.33;0.46;0.26
13;Nicolás Almagro;ESP;23;11;5;6;276;8.1;71;2.1;0.57;0.76;0.54;0.85;0.41;0.71;0.33;0.51;0.28
14;John Isner;USA;8;5;4;4;168;12.9;21;1.6;0.67;0.77;0.54;0.89;0.34;0.72;0.24;0.47;0.15
15;Mikhail Youzhny;RUS;12;7;5;1;76;4.0;45;2.4;0.66;0.68;0.48;0.75;0.4;0.63;0.32;0.51;0.26
16;Fabio Fognini;ITA;28;10;10;5;92;2.5;101;2.7;0.61;0.67;0.53;0.77;0.4;0.62;0.36;0.53;0.32
17;Kei Nishikori;JPN;8;4;0;2;23;1.9;32;2.7;0.64;0.7;0.5;0.79;0.43;0.62;0.35;0.53;0.34
18;Tommy Robredo;ESP;25;10;6;5;114;3.3;67;1.9;0.62;0.7;0.52;0.78;0.41;0.6;0.35;0.51;0.3
19;Gilles Simon;FRA;10;8;2;4;63;3.9;33;2.1;0.57;0.65;0.5;0.71;0.47;0.62;0.35;0.53;0.32
20;Kevin Anderson;RSA;11;5;4;3;130;8.1;34;2.1;0.66;0.74;0.53;0.84;0.4;0.67;0.33;0.46;0.24
21;Jerzy Janowicz;POL;7;6;6;2;103;7.9;56;4.3;0.62;0.73;0.53;0.82;0.36;0.66;0.31;0.41;0.15
22;Philipp Kohlschreiber;GER;14;8;9;4;87;4.1;26;1.2;0.62;0.72;0.57;0.83;0.42;0.67;0.3;0.5;0.21
23;Grigor Dimitrov;BUL;11;6;3;2;86;5.1;44;2.6;0.61;0.72;0.51;0.8;0.48;0.62;0.34;0.5;0.28
24;Ernests Gulbis;LAT;10;7;5;2;92;6.1;47;3.1;0.6;0.76;0.47;0.78;0.48;0.63;0.34;0.53;0.27
25;Andreas Seppi;ITA;7;10;1;5;66;4.4;40;2.7;0.59;0.67;0.48;0.7;0.43;0.55;0.34;0.5;0.29
26;Benoit Paire;FRA;13;10;8;5;165;7.2;82;3.6;0.49;0.73;0.48;0.75;0.43;0.62;0.34;0.5;0.27
27;Jurgen Melzer;AUT;2;12;0;1;23;2.3;22;2.2;0.63;0.61;0.44;0.62;0.33;0.41;0.25;0.43;0.13
28;Feliciano Lopez;ESP;6;5;1;2;101;9.2;25;2.3;0.59;0.72;0.51;0.81;0.41;0.66;0.28;0.47;0.18
29;Dmitry Tursunov;RUS;6;6;4;4;73;6.1;55;4.6;0.57;0.74;0.45;0.76;0.39;0.62;0.29;0.51;0.24
30;Fernando Verdasco;ESP;14;9;7;2;96;4.6;96;4.6;0.62;0.7;0.54;0.79;0.37;0.59;0.31;0.51;0.23
31;Gael Monfils;FRA;15;9;6;7;129;5.4;72;3.0;0.67;0.69;0.49;0.78;0.41;0.62;0.36;0.48;0.29
32;Vasek Pospisil;CAN;0;3;1;3;23;23.0;9;9.0;0.57;0.79;0.49;0.89;0.38;0.8;0.21;0.51;0.11
33;Ivan Dodig;CRO;6;8;1;1;66;6.6;30;3.0;0.61;0.71;0.5;0.78;0.45;0.57;0.33;0.44;0.25
34;Jeremy Chardy;FRA;8;9;4;4;101;5.9;89;5.2;0.6;0.73;0.51;0.81;0.38;0.67;0.31;0.48;0.19
35;Julien Benneteau;FRA;3;5;5;1;35;4.4;15;1.9;0.7;0.67;0.44;0.72;0.39;0.45;0.29;0.45;0.19
36;Janko Tipsarevic;SRB;5;8;4;3;57;5.2;25;2.3;0.59;0.69;0.49;0.77;0.4;0.67;0.27;0.49;0.19
37;Marin Cilic;CRO;7;5;1;4;47;4.7;21;2.1;0.54;0.74;0.56;0.8;0.46;0.59;0.31;0.56;0.29
38;Marcel Granollers;ESP;14;8;3;3;76;3.5;31;1.4;0.62;0.67;0.51;0.74;0.45;0.53;0.33;0.53;0.3
39;Jarkko Nieminen;FIN;8;6;4;2;33;2.4;24;1.7;0.66;0.65;0.49;0.73;0.43;0.58;0.3;0.5;0.24
40;Florian Mayer;GER;12;9;7;4;92;4.6;36;1.8;0.64;0.65;0.52;0.75;0.46;0.56;0.34;0.5;0.27
41;Carlos Berlocq;ARG;17;13;2;4;76;2.9;57;2.2;0.68;0.68;0.53;0.76;0.44;0.6;0.32;0.55;0.31
42;Juan Mónaco;ARG;21;13;7;7;54;1.8;43;1.4;0.72;0.65;0.54;0.76;0.45;0.54;0.33;0.56;0.34
43;Robin Haase;NED;16;10;5;7;117;4.7;67;2.7;0.63;0.71;0.5;0.81;0.43;0.65;0.3;0.5;0.22
