j1_posicion_ranking;j1_partidos_ganados;j1_partidos_perdidos;j1_media_aces;j1_media_1servicioganado;j1_media_juegosganadosconservicio;j1_media_breakpointganados;j1_media_juegosganadosdevolviendo;j1_racha;j2_posicion_ranking;j2_partidos_ganados;j2_partidos_perdidos;j2_media_aces;j2_media_1servicioganado;j2_media_juegosganadosconservicio;j2_media_breakpointganados;j2_media_juegosganadosdevolviendo;j2_racha;resultado
1;14;4;62;0.71;0.83;0.45;0.34;0.83;5;9;10;7;0.6;0.73;0.3;0.14;0.17;W
1;14;4;62;0.71;0.83;0.45;0.34;0.83;5;14;9;42;0.66;0.76;0.49;0.25;0.83;W
1;14;4;62;0.71;0.83;0.45;0.34;0.83;2;15;6;66;0.67;0.7;0.43;0.29;0.83;W
1;14;4;62;0.71;0.83;0.45;0.34;0.83;1;9;6;72;0.74;0.86;0.45;0.25;0.83;W
1;14;4;62;0.71;0.83;0.45;0.34;0.83;1;13;3;90;0.74;0.84;0.45;0.28;1.0;W
1;14;4;62;0.71;0.83;0.45;0.34;0.83;1;18;1;94;0.73;0.87;0.48;0.38;1.0;L
1;14;4;62;0.71;0.83;0.45;0.34;0.83;4;8;10;18;0.64;0.69;0.14;0.1;0.33;W
1;14;4;62;0.71;0.83;0.45;0.34;0.83;1;9;6;72;0.74;0.86;0.45;0.25;0.83;W
1;14;4;62;0.71;0.83;0.45;0.34;0.83;1;13;3;90;0.74;0.84;0.45;0.28;1.0;W
1;14;4;62;0.71;0.83;0.45;0.34;0.83;1;18;1;94;0.73;0.87;0.48;0.38;1.0;L
1;14;4;62;0.71;0.83;0.45;0.34;0.83;4;15;13;109;0.71;0.73;0.41;0.25;1.0;W
1;14;4;62;0.71;0.83;0.45;0.34;0.83;1;14;6;166;0.73;0.86;0.38;0.27;0.67;W
1;14;4;62;0.71;0.83;0.45;0.34;0.83;3;16;6;57;0.69;0.77;0.4;0.19;0.83;L
1;14;4;62;0.71;0.83;0.45;0.34;0.83;2;15;6;66;0.67;0.7;0.43;0.29;0.83;W
1;14;4;62;0.71;0.83;0.45;0.34;0.83;4;5;5;64;0.76;0.75;0.38;0.19;0.5;W
1;14;4;62;0.71;0.83;0.45;0.34;0.83;3;9;9;117;0.71;0.81;0.43;0.22;0.67;W
1;14;4;62;0.71;0.83;0.45;0.34;0.83;1;15;4;95;0.73;0.79;0.41;0.25;1.0;W
1;14;4;62;0.71;0.83;0.45;0.34;0.83;1;18;1;94;0.73;0.87;0.48;0.38;1.0;L
1;13;3;90;0.74;0.84;0.45;0.28;1.0;5;14;5;42;0.7;0.75;0.52;0.25;0.67;W
1;13;3;90;0.74;0.84;0.45;0.28;1.0;3;9;9;117;0.71;0.81;0.43;0.22;0.67;W
1;13;3;90;0.74;0.84;0.45;0.28;1.0;4;4;6;23;0.64;0.73;0.47;0.3;0.67;W
1;13;3;90;0.74;0.84;0.45;0.28;1.0;5;9;17;7;0.65;0.63;0.2;0.03;0.5;W
1;13;3;90;0.74;0.84;0.45;0.28;1.0;3;3;2;6;0.7;0.62;0.17;0.07;0.5;W
1;13;3;90;0.74;0.84;0.45;0.28;1.0;5;2;5;23;0.64;0.66;0.5;0.28;0.33;W
1;13;3;90;0.74;0.84;0.45;0.28;1.0;1;14;4;62;0.71;0.83;0.45;0.34;0.83;L
1;13;3;90;0.74;0.84;0.45;0.28;1.0;3;11;11;76;0.68;0.76;0.44;0.31;0.17;W
1;13;3;90;0.74;0.84;0.45;0.28;1.0;2;15;6;66;0.67;0.7;0.43;0.29;0.83;W
1;13;3;90;0.74;0.84;0.45;0.28;1.0;1;14;4;62;0.71;0.83;0.45;0.34;0.83;L
1;13;3;90;0.74;0.84;0.45;0.28;1.0;2;4;4;135;0.76;0.9;0.39;0.17;0.67;W
1;13;3;90;0.74;0.84;0.45;0.28;1.0;1;10;3;51;0.71;0.82;0.49;0.29;0.83;W
1;13;3;90;0.74;0.84;0.45;0.28;1.0;1;22;5;54;0.7;0.78;0.43;0.39;1.0;W
1;13;3;90;0.74;0.84;0.45;0.28;1.0;3;16;6;57;0.69;0.77;0.4;0.19;0.83;W
1;13;3;90;0.74;0.84;0.45;0.28;1.0;1;15;4;95;0.73;0.79;0.41;0.25;1.0;W
1;13;3;90;0.74;0.84;0.45;0.28;1.0;2;9;5;168;0.77;0.89;0.34;0.15;0.5;L
1;8;4;31;0.69;0.71;0.29;0.22;0.67;5;2;3;2;0.61;0.67;1.0;0.1;0.33;W
1;8;4;31;0.69;0.71;0.29;0.22;0.67;3;1;7;33;0.65;0.73;0.43;0.24;0.0;W
1;8;4;31;0.69;0.71;0.29;0.22;0.67;4;13;10;28;0.66;0.74;0.29;0.19;0.67;W
1;8;4;31;0.69;0.71;0.29;0.22;0.67;1;10;3;51;0.71;0.82;0.49;0.29;0.83;W
1;8;4;31;0.69;0.71;0.29;0.22;0.67;1;22;5;54;0.7;0.78;0.43;0.39;1.0;L
1;8;4;31;0.69;0.71;0.29;0.22;0.67;1;10;3;51;0.71;0.82;0.49;0.29;0.83;L
1;8;4;31;0.69;0.71;0.29;0.22;0.67;4;6;7;19;0.63;0.69;0.37;0.22;0.5;W
1;8;4;31;0.69;0.71;0.29;0.22;0.67;4;13;10;28;0.66;0.74;0.29;0.19;0.67;W
1;8;4;31;0.69;0.71;0.29;0.22;0.67;2;4;4;135;0.76;0.9;0.39;0.17;0.67;L
1;8;4;31;0.69;0.71;0.29;0.22;0.67;4;7;8;119;0.7;0.75;0.41;0.28;0.67;W
1;8;4;31;0.69;0.71;0.29;0.22;0.67;3;4;3;35;0.67;0.72;0.39;0.19;0.67;W
1;8;4;31;0.69;0.71;0.29;0.22;0.67;1;15;4;95;0.73;0.79;0.41;0.25;1.0;L
1;18;1;94;0.73;0.87;0.48;0.38;1.0;3;2;8;48;0.66;0.72;0.33;0.14;0.17;W
1;18;1;94;0.73;0.87;0.48;0.38;1.0;1;22;5;54;0.7;0.78;0.43;0.39;1.0;W
1;18;1;94;0.73;0.87;0.48;0.38;1.0;1;14;4;62;0.71;0.83;0.45;0.34;0.83;W
1;18;1;94;0.73;0.87;0.48;0.38;1.0;3;13;6;92;0.65;0.75;0.46;0.27;0.83;W
1;18;1;94;0.73;0.87;0.48;0.38;1.0;3;14;7;76;0.67;0.74;0.45;0.3;0.67;W
1;18;1;94;0.73;0.87;0.48;0.38;1.0;1;15;4;95;0.73;0.79;0.41;0.25;1.0;W
1;18;1;94;0.73;0.87;0.48;0.38;1.0;1;22;5;54;0.7;0.78;0.43;0.39;1.0;W
1;18;1;94;0.73;0.87;0.48;0.38;1.0;1;14;4;62;0.71;0.83;0.45;0.34;0.83;W
