ranking;jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
1;Rafael Nadal;ESP;75;7;18;7;221;2.7;120;1.5;0.69;0.73;0.57;0.88;0.47;0.69;0.35;0.54;0.34
2;Novak Djokovic;SRB;74;9;22;10;476;6.3;118;1.6;0.66;0.75;0.6;0.88;0.42;0.65;0.35;0.55;0.33
3;David Ferrer;ESP;60;24;12;9;265;3.2;190;2.3;0.63;0.7;0.53;0.79;0.42;0.57;0.34;0.56;0.33
4;Andy Murray;GBR;43;8;16;7;353;7.2;108;2.2;0.62;0.75;0.52;0.85;0.44;0.66;0.34;0.55;0.31
5;Juan Martin  del Potro;ARG;51;16;21;12;475;7.1;143;2.1;0.65;0.75;0.54;0.86;0.41;0.66;0.28;0.53;0.24
6;Roger Federer;SUI;45;17;15;10;399;6.4;104;1.7;0.63;0.76;0.55;0.87;0.39;0.65;0.33;0.51;0.26
7;Tomas Berdych;CZE;54;25;18;19;603;8.1;169;2.3;0.59;0.78;0.52;0.86;0.41;0.67;0.3;0.54;0.25
8;Stan Wawrinka;SUI;51;23;17;16;488;6.9;182;2.6;0.6;0.74;0.55;0.85;0.38;0.66;0.31;0.5;0.23
9;Richard Gasquet;FRA;50;23;15;14;432;6.1;189;2.7;0.6;0.74;0.54;0.83;0.39;0.64;0.3;0.54;0.25
10;Jo-Wilfried Tsonga;FRA;39;16;17;13;429;8.3;108;2.1;0.63;0.76;0.53;0.88;0.42;0.69;0.3;0.47;0.21
11;Milos Raonic;CAN;45;21;20;19;883;14.7;182;3.0;0.63;0.82;0.53;0.91;0.33;0.68;0.28;0.44;0.16
12;Tommy Haas;GER;47;21;16;10;415;6.1;226;3.3;0.61;0.74;0.54;0.84;0.38;0.64;0.31;0.49;0.24
13;Nicolás Almagro;ESP;42;23;17;17;622;9.6;160;2.5;0.57;0.78;0.54;0.85;0.44;0.65;0.29;0.52;0.25
14;John Isner;USA;39;24;38;18;979;16.3;104;1.7;0.68;0.78;0.56;0.9;0.31;0.71;0.24;0.44;0.12
15;Mikhail Youzhny;RUS;39;24;11;12;279;4.4;160;2.5;0.62;0.7;0.51;0.8;0.42;0.64;0.3;0.51;0.25
16;Fabio Fognini;ITA;42;27;14;10;183;2.7;215;3.2;0.6;0.67;0.5;0.73;0.43;0.6;0.33;0.54;0.31
17;Kei Nishikori;JPN;36;19;9;7;140;2.6;150;2.8;0.63;0.69;0.52;0.78;0.43;0.57;0.31;0.55;0.3
18;Tommy Robredo;ESP;36;20;14;10;252;4.5;121;2.2;0.61;0.71;0.52;0.79;0.41;0.61;0.33;0.5;0.27
19;Gilles Simon;FRA;36;24;16;10;236;4.1;144;2.5;0.58;0.68;0.5;0.74;0.41;0.63;0.32;0.52;0.27
20;Kevin Anderson;RSA;37;23;19;16;651;10.9;182;3.0;0.65;0.76;0.54;0.86;0.35;0.66;0.28;0.47;0.18
21;Jerzy Janowicz;POL;27;20;16;11;462;10.7;227;5.3;0.61;0.76;0.5;0.84;0.36;0.67;0.29;0.44;0.18
22;Philipp Kohlschreiber;GER;32;25;19;14;359;6.5;97;1.8;0.59;0.75;0.56;0.85;0.39;0.66;0.28;0.49;0.19
23;Grigor Dimitrov;BUL;37;23;9;13;469;8.1;164;2.8;0.62;0.76;0.51;0.83;0.38;0.6;0.29;0.48;0.22
24;Ernests Gulbis;LAT;37;18;13;10;390;7.8;182;3.6;0.61;0.76;0.49;0.83;0.44;0.68;0.31;0.5;0.25
25;Andreas Seppi;ITA;30;29;9;11;287;5.2;168;3.1;0.59;0.71;0.49;0.77;0.39;0.59;0.29;0.51;0.23
26;Benoit Paire;FRA;32;30;17;12;537;8.7;234;3.8;0.52;0.74;0.47;0.76;0.41;0.59;0.32;0.49;0.24
27;Jurgen Melzer;AUT;25;27;8;12;214;4.5;134;2.8;0.66;0.68;0.5;0.77;0.36;0.6;0.29;0.48;0.21
28;Feliciano Lopez;ESP;29;20;14;10;546;11.1;174;3.6;0.59;0.75;0.53;0.84;0.36;0.64;0.28;0.45;0.17
29;Dmitry Tursunov;RUS;31;21;16;6;372;7.4;228;4.6;0.57;0.74;0.49;0.81;0.42;0.66;0.28;0.5;0.22
30;Fernando Verdasco;ESP;29;23;14;10;296;5.9;248;5.0;0.62;0.73;0.53;0.81;0.37;0.61;0.3;0.51;0.21
31;Gael Monfils;FRA;33;22;13;14;424;7.7;201;3.7;0.66;0.71;0.49;0.8;0.4;0.64;0.32;0.48;0.25
32;Vasek Pospisil;CAN;17;18;11;15;359;11.2;127;4.0;0.55;0.79;0.51;0.86;0.34;0.65;0.29;0.47;0.18
33;Ivan Dodig;CRO;33;27;13;15;520;9.3;167;3.0;0.6;0.74;0.52;0.82;0.44;0.63;0.29;0.49;0.23
34;Jeremy Chardy;FRA;22;25;12;9;389;8.3;246;5.2;0.61;0.74;0.49;0.81;0.36;0.64;0.28;0.49;0.18
35;Julien Benneteau;FRA;27;25;14;10;314;6.0;147;2.8;0.64;0.7;0.5;0.77;0.4;0.55;0.3;0.5;0.24
36;Janko Tipsarevic;SRB;20;24;7;14;261;6.2;93;2.2;0.58;0.72;0.52;0.81;0.38;0.68;0.27;0.49;0.19
37;Marin Cilic;CRO;26;12;11;5;301;8.4;87;2.4;0.56;0.76;0.56;0.84;0.42;0.66;0.3;0.52;0.24
38;Marcel Granollers;ESP;27;24;7;6;206;4.1;112;2.2;0.61;0.68;0.51;0.75;0.42;0.57;0.29;0.52;0.24
39;Jarkko Nieminen;FIN;31;27;14;13;186;3.3;125;2.2;0.66;0.68;0.51;0.77;0.42;0.58;0.27;0.53;0.24
40;Florian Mayer;GER;29;26;9;10;231;4.4;89;1.7;0.63;0.69;0.51;0.78;0.41;0.59;0.3;0.48;0.23
41;Carlos Berlocq;ARG;28;25;7;11;163;3.3;113;2.3;0.68;0.69;0.51;0.76;0.41;0.58;0.3;0.53;0.25
42;Juan Mónaco;ARG;25;23;7;12;88;2.0;82;1.9;0.7;0.65;0.53;0.74;0.43;0.54;0.32;0.55;0.31
43;Robin Haase;NED;30;26;10;14;326;6.0;152;2.8;0.62;0.72;0.49;0.8;0.42;0.64;0.28;0.49;0.2
44;Radek Stepanek;CZE;16;17;4;8;137;4.6;85;2.8;0.64;0.69;0.49;0.76;0.39;0.58;0.3;0.52;0.26
45;Denis Istomin;UZB;32;30;13;13;373;6.3;117;2.0;0.64;0.72;0.52;0.82;0.39;0.67;0.27;0.47;0.18
46;Sam Querrey;USA;27;22;18;16;576;12.8;162;3.6;0.6;0.79;0.48;0.84;0.34;0.61;0.27;0.45;0.16
47;Lukas Rosol;CZE;23;27;9;11;319;6.9;151;3.3;0.58;0.73;0.49;0.78;0.34;0.63;0.28;0.47;0.19
48;Pablo Andújar;ESP;18;31;4;10;73;1.5;167;3.4;0.6;0.65;0.48;0.7;0.36;0.62;0.29;0.51;0.22
49;Joao Sousa;POR;16;14;2;3;77;2.9;62;2.3;0.62;0.68;0.47;0.74;0.4;0.58;0.29;0.49;0.23
50;Nicolas Mahut;FRA;17;7;6;7;204;8.5;79;3.3;0.6;0.78;0.53;0.88;0.41;0.68;0.31;0.47;0.23
51;Bernard Tomic;AUS;25;22;19;14;345;8.0;58;1.3;0.68;0.72;0.51;0.84;0.34;0.67;0.23;0.48;0.15
52;Edouard Roger-Vasselin;FRA;23;26;4;15;190;3.9;123;2.5;0.64;0.7;0.5;0.79;0.37;0.6;0.28;0.48;0.21
53;Nikolay Davydenko;RUS;22;22;4;6;98;2.2;102;2.3;0.68;0.66;0.5;0.75;0.48;0.6;0.32;0.52;0.28
54;Daniel Brands;GER;24;23;10;9;390;8.5;103;2.2;0.67;0.73;0.54;0.85;0.34;0.62;0.25;0.47;0.14
55;Federico Delbonis;ARG;12;8;9;4;66;3.3;60;3.0;0.6;0.71;0.53;0.8;0.38;0.66;0.3;0.47;0.19
56;Horacio Zeballos;ARG;15;23;8;13;206;5.6;100;2.7;0.62;0.7;0.49;0.77;0.37;0.62;0.24;0.45;0.16
57;Alexandr Dolgopolov;UKR;24;27;12;10;319;6.9;124;2.7;0.52;0.75;0.5;0.77;0.38;0.56;0.28;0.49;0.21
58;Roberto Bautista Agut;ESP;26;22;16;5;106;2.2;82;1.7;0.71;0.65;0.52;0.75;0.42;0.6;0.3;0.53;0.25
59;Adrian Mannarino;FRA;10;15;2;6;141;5.6;62;2.5;0.61;0.7;0.51;0.79;0.41;0.7;0.24;0.51;0.18
60;Lleyton Hewitt;AUS;24;18;9;7;247;6.2;161;4.0;0.51;0.7;0.52;0.76;0.44;0.59;0.29;0.52;0.26
61;Marinko Matosevic;AUS;18;25;10;8;158;3.9;109;2.7;0.59;0.69;0.48;0.72;0.4;0.55;0.29;0.52;0.25
