jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
1;Rafael Nadal;ESP;0;1;0;2;6;6.0;3;3.0;0.67;0.65;0.54;0.82;0.29;0.73;0.26;0.43;0.12
2;Novak Djokovic;SRB;6;1;4;1;80;11.4;11;1.6;0.65;0.78;0.57;0.89;0.3;0.64;0.35;0.51;0.25
3;David Ferrer;ESP;4;2;3;4;39;6.5;25;4.2;0.67;0.75;0.53;0.86;0.33;0.59;0.3;0.52;0.21
4;Andy Murray;GBR;12;0;3;1;114;9.5;19;1.6;0.65;0.77;0.55;0.89;0.39;0.72;0.32;0.57;0.3
5;Juan Martin  del Potro;ARG;7;2;6;1;84;9.3;15;1.7;0.67;0.77;0.53;0.91;0.41;0.71;0.27;0.57;0.22
6;Roger Federer;SUI;5;1;1;3;56;9.3;6;1.0;0.67;0.8;0.62;0.95;0.41;0.71;0.35;0.49;0.27
7;Tomas Berdych;CZE;6;2;2;3;83;10.4;21;2.6;0.57;0.81;0.58;0.92;0.29;0.77;0.3;0.51;0.19
8;Stan Wawrinka;SUI;4;2;3;0;45;7.5;11;1.8;0.61;0.73;0.56;0.84;0.34;0.73;0.28;0.45;0.17
9;Richard Gasquet;FRA;4;2;1;4;50;8.3;10;1.7;0.67;0.8;0.53;0.89;0.37;0.63;0.3;0.56;0.22
10;Jo-Wilfried Tsonga;FRA;4;2;1;1;68;11.3;14;2.3;0.68;0.78;0.54;0.92;0.37;0.73;0.25;0.47;0.16
11;Milos Raonic;CAN;1;3;0;2;58;14.5;15;3.8;0.66;0.78;0.49;0.86;0.22;0.61;0.24;0.38;0.08
12;Tommy Haas;GER;5;2;1;2;68;9.7;21;3.0;0.67;0.78;0.56;0.91;0.32;0.73;0.27;0.49;0.18
13;Nicolás Almagro;ESP;2;1;1;2;50;16.7;11;3.7;0.66;0.82;0.54;0.91;0.38;0.38;0.18;0.53;0.15
14;John Isner;USA;4;3;7;0;101;14.4;8;1.1;0.68;0.8;0.62;0.91;0.53;0.59;0.23;0.48;0.13
15;Mikhail Youzhny;RUS;7;2;2;3;45;5.0;12;1.3;0.65;0.75;0.57;0.91;0.4;0.74;0.25;0.56;0.22
16;Fabio Fognini;ITA;2;2;1;2;22;5.5;14;3.5;0.61;0.66;0.49;0.7;0.47;0.59;0.29;0.52;0.29
17;Kei Nishikori;JPN;2;2;3;0;7;1.8;16;4.0;0.68;0.69;0.55;0.79;0.39;0.5;0.32;0.53;0.22
18;Tommy Robredo;ESP;2;1;2;0;21;7.0;4;1.3;0.68;0.77;0.61;0.89;0.36;0.44;0.26;0.45;0.19
19;Gilles Simon;FRA;3;2;4;2;26;5.2;14;2.8;0.6;0.71;0.49;0.79;0.44;0.73;0.25;0.48;0.18
20;Kevin Anderson;RSA;2;2;1;1;70;17.5;13;3.3;0.64;0.76;0.57;0.85;0.39;0.68;0.3;0.49;0.21
21;Jerzy Janowicz;POL;5;2;3;2;119;17.0;41;5.9;0.63;0.82;0.55;0.91;0.31;0.74;0.28;0.47;0.18
22;Philipp Kohlschreiber;GER;2;3;1;1;45;9.0;8;1.6;0.6;0.79;0.53;0.88;0.23;0.73;0.28;0.49;0.12
23;Grigor Dimitrov;BUL;2;2;1;1;55;13.8;12;3.0;0.67;0.8;0.54;0.88;0.28;0.53;0.28;0.45;0.17
24;Ernests Gulbis;LAT;3;2;1;1;65;13.0;29;5.8;0.64;0.77;0.48;0.86;0.41;0.81;0.25;0.4;0.13
25;Andreas Seppi;ITA;6;2;2;2;38;4.8;18;2.3;0.62;0.72;0.5;0.82;0.39;0.62;0.29;0.5;0.21
26;Benoit Paire;FRA;3;3;0;0;63;10.5;15;2.5;0.58;0.77;0.47;0.82;0.4;0.52;0.32;0.44;0.2
27;Jurgen Melzer;AUT;4;2;3;2;53;8.8;14;2.3;0.68;0.68;0.55;0.82;0.38;0.7;0.31;0.46;0.21
28;Feliciano Lopez;ESP;9;2;7;2;149;13.5;37;3.4;0.62;0.82;0.6;0.92;0.32;0.69;0.29;0.42;0.18
