j1_posicion_ranking;j1_partidos_ganados;j1_partidos_perdidos;j1_media_aces;j1_media_1servicioganado;j1_media_juegosganadosconservicio;j1_media_breakpointganados;j1_media_juegosganadosdevolviendo;j1_racha;j2_posicion_ranking;j2_partidos_ganados;j2_partidos_perdidos;j2_media_aces;j2_media_1servicioganado;j2_media_juegosganadosconservicio;j2_media_breakpointganados;j2_media_juegosganadosdevolviendo;j2_racha;resultado
1;7;2;80;0.78;0.89;0.3;0.25;0.83;2;3;2;22;0.66;0.7;0.47;0.29;0.5;W
1;7;2;80;0.78;0.89;0.3;0.25;0.83;4;6;4;84;0.72;0.81;0.42;0.3;0.83;W
1;7;2;80;0.78;0.89;0.3;0.25;0.83;1;7;3;68;0.78;0.92;0.37;0.16;0.83;W
1;7;2;80;0.78;0.89;0.3;0.25;0.83;1;11;2;114;0.77;0.89;0.39;0.3;1.0;L
1;7;2;80;0.78;0.89;0.3;0.25;0.83;5;7;4;51;0.7;0.8;0.42;0.07;0.67;W
1;7;2;80;0.78;0.89;0.3;0.25;0.83;3;4;3;27;0.7;0.84;0.42;0.27;0.67;W
1;7;2;80;0.78;0.89;0.3;0.25;0.83;4;3;3;46;0.79;0.83;0.3;0.15;0.5;W
1;7;2;80;0.78;0.89;0.3;0.25;0.83;3;4;2;7;0.7;0.85;0.45;0.23;0.67;W
1;7;2;80;0.78;0.89;0.3;0.25;0.83;1;14;2;56;0.8;0.95;0.41;0.27;0.83;L
1;14;2;56;0.8;0.95;0.41;0.27;0.83;4;3;2;1;0.58;0.56;0.56;0.29;0.5;W
1;14;2;56;0.8;0.95;0.41;0.27;0.83;3;3;4;46;0.73;0.88;0.36;0.18;0.5;W
1;14;2;56;0.8;0.95;0.41;0.27;0.83;3;6;5;37;0.77;0.88;0.27;0.07;0.5;W
1;14;2;56;0.8;0.95;0.41;0.27;0.83;2;6;2;101;0.8;0.91;0.53;0.13;0.83;W
1;14;2;56;0.8;0.95;0.41;0.27;0.83;1;11;2;114;0.77;0.89;0.39;0.3;1.0;L
1;14;2;56;0.8;0.95;0.41;0.27;0.83;4;0;2;15;0.65;0.63;0.26;0.16;0.0;W
1;14;2;56;0.8;0.95;0.41;0.27;0.83;2;3;2;22;0.66;0.7;0.47;0.29;0.5;W
1;14;2;56;0.8;0.95;0.41;0.27;0.83;3;3;4;46;0.73;0.88;0.36;0.18;0.5;W
1;14;2;56;0.8;0.95;0.41;0.27;0.83;5;7;1;55;0.73;0.8;0.38;0.2;0.83;W
1;14;2;56;0.8;0.95;0.41;0.27;0.83;2;6;3;45;0.75;0.91;0.4;0.22;0.67;W
1;14;2;56;0.8;0.95;0.41;0.27;0.83;1;7;2;80;0.78;0.89;0.3;0.25;0.83;W
1;14;2;56;0.8;0.95;0.41;0.27;0.83;1;11;2;114;0.77;0.89;0.39;0.3;1.0;W
1;14;2;56;0.8;0.95;0.41;0.27;0.83;3;4;2;7;0.7;0.85;0.45;0.23;0.67;W
1;14;2;56;0.8;0.95;0.41;0.27;0.83;2;3;4;58;0.78;0.86;0.22;0.08;0.5;W
