j1_posicion_ranking;j1_partidos_ganados;j1_partidos_perdidos;j1_media_aces;j1_media_1servicioganado;j1_media_juegosganadosconservicio;j1_media_breakpointganados;j1_media_juegosganadosdevolviendo;j1_racha;j2_posicion_ranking;j2_partidos_ganados;j2_partidos_perdidos;j2_media_aces;j2_media_1servicioganado;j2_media_juegosganadosconservicio;j2_media_breakpointganados;j2_media_juegosganadosdevolviendo;j2_racha;resultado
1;44;5;334;0.76;0.89;0.43;0.34;0.83;1;33;13;289;0.76;0.88;0.41;0.2;0.17;W
1;44;5;334;0.76;0.89;0.43;0.34;0.83;1;37;11;208;0.74;0.85;0.49;0.33;0.5;W
1;44;5;334;0.76;0.89;0.43;0.34;0.83;1;32;13;425;0.79;0.87;0.44;0.26;0.5;W
1;44;5;334;0.76;0.89;0.43;0.34;0.83;1;36;5;253;0.77;0.86;0.37;0.25;0.83;W
1;44;5;334;0.76;0.89;0.43;0.34;0.83;3;26;15;426;0.79;0.84;0.35;0.15;0.83;L
1;44;5;334;0.76;0.89;0.43;0.34;0.83;2;9;10;328;0.77;0.84;0.35;0.2;0.67;W
1;44;5;334;0.76;0.89;0.43;0.34;0.83;3;13;15;296;0.73;0.81;0.36;0.16;0.5;W
1;44;5;334;0.76;0.89;0.43;0.34;0.83;2;14;12;247;0.74;0.82;0.38;0.24;0.5;W
1;44;5;334;0.76;0.89;0.43;0.34;0.83;1;32;13;425;0.79;0.87;0.44;0.26;0.5;W
1;44;5;334;0.76;0.89;0.43;0.34;0.83;1;37;11;208;0.74;0.85;0.49;0.33;0.5;W
1;44;5;334;0.76;0.89;0.43;0.34;0.83;5;13;14;10;0.7;0.67;0.36;0.35;0.33;W
1;44;5;334;0.76;0.89;0.43;0.34;0.83;3;7;12;78;0.72;0.78;0.38;0.2;0.33;W
1;44;5;334;0.76;0.89;0.43;0.34;0.83;3;13;14;138;0.69;0.8;0.36;0.23;0.5;W
1;44;5;334;0.76;0.89;0.43;0.34;0.83;3;7;12;132;0.71;0.79;0.36;0.19;0.33;W
1;44;5;334;0.76;0.89;0.43;0.34;0.83;1;33;13;289;0.76;0.88;0.41;0.2;0.17;W
1;44;5;334;0.76;0.89;0.43;0.34;0.83;5;5;8;39;0.67;0.68;0.34;0.21;0.5;W
1;44;5;334;0.76;0.89;0.43;0.34;0.83;5;1;5;5;0.6;0.58;0.35;0.17;0.17;W
