jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
1;Novak Djokovic;SRB;16;4;4;2;84;4.2;37;1.9;0.65;0.72;0.55;0.81;0.43;0.55;0.37;0.53;0.33
2;Roger Federer;SUI;15;3;1;4;127;7.1;23;1.3;0.62;0.76;0.58;0.88;0.43;0.68;0.31;0.53;0.28
3;Andy Murray;GBR;9;4;3;1;52;4.0;27;2.1;0.6;0.72;0.51;0.78;0.4;0.65;0.35;0.57;0.32
4;Rafael Nadal;ESP;23;1;3;0;64;2.7;30;1.3;0.65;0.75;0.58;0.89;0.52;0.73;0.42;0.59;0.47
5;David Ferrer;ESP;32;5;9;5;87;2.4;65;1.8;0.65;0.74;0.54;0.87;0.43;0.71;0.37;0.54;0.34
6;Tomas Berdych;CZE;19;5;7;5;144;6.0;50;2.1;0.6;0.75;0.54;0.86;0.51;0.69;0.33;0.51;0.3
7;Juan Martin  del Potro;ARG;17;3;7;4;93;4.7;28;1.4;0.66;0.73;0.54;0.85;0.47;0.66;0.37;0.49;0.3
8;Jo-Wilfried Tsonga;FRA;10;6;3;3;69;4.3;25;1.6;0.65;0.69;0.5;0.78;0.44;0.6;0.34;0.5;0.28
9;Janko Tipsarevic;SRB;21;7;10;5;191;6.8;55;2.0;0.57;0.74;0.53;0.8;0.4;0.55;0.33;0.51;0.27
10;Richard Gasquet;FRA;11;4;5;3;75;5.0;31;2.1;0.63;0.72;0.55;0.84;0.4;0.68;0.31;0.5;0.27
11;Nicolás Almagro;ESP;35;9;8;7;270;6.1;76;1.7;0.56;0.77;0.54;0.85;0.4;0.6;0.31;0.52;0.25
12;Juan Mónaco;ARG;25;7;6;4;39;1.2;48;1.5;0.7;0.66;0.53;0.76;0.46;0.59;0.38;0.54;0.37
13;Milos Raonic;CAN;7;5;4;4;156;13.0;32;2.7;0.58;0.8;0.59;0.92;0.36;0.75;0.29;0.47;0.16
14;John Isner;USA;10;7;10;6;172;10.1;21;1.2;0.69;0.75;0.58;0.93;0.25;0.85;0.25;0.38;0.09
15;Marin Cilic;CRO;16;7;5;5;111;4.8;45;2.0;0.54;0.71;0.55;0.81;0.5;0.62;0.34;0.52;0.29
16;Gilles Simon;FRA;19;10;3;5;89;3.1;53;1.8;0.55;0.69;0.51;0.75;0.44;0.58;0.37;0.51;0.34
17;Stan Wawrinka;SUI;19;9;5;10;175;6.3;62;2.2;0.59;0.73;0.53;0.84;0.48;0.67;0.32;0.53;0.28
18;Alexandr Dolgopolov;UKR;7;6;4;2;80;6.2;25;1.9;0.5;0.73;0.53;0.79;0.52;0.61;0.3;0.48;0.21
19;Kei Nishikori;JPN;7;4;1;1;21;1.9;31;2.8;0.65;0.68;0.52;0.78;0.38;0.67;0.37;0.53;0.32
20;Philipp Kohlschreiber;GER;13;7;6;5;118;5.9;41;2.1;0.62;0.73;0.58;0.84;0.36;0.63;0.31;0.5;0.24
21;Tommy Haas;GER;10;4;3;0;62;4.4;40;2.9;0.6;0.71;0.53;0.79;0.44;0.54;0.36;0.51;0.32
22;Sam Querrey;USA;2;5;1;3;40;5.7;22;3.1;0.53;0.79;0.52;0.83;0.32;0.65;0.24;0.46;0.15
23;Andreas Seppi;ITA;16;5;8;3;83;4.0;33;1.6;0.6;0.7;0.53;0.78;0.46;0.58;0.33;0.5;0.27
24;Fernando Verdasco;ESP;19;10;3;7;93;3.2;107;3.7;0.73;0.69;0.5;0.81;0.42;0.63;0.33;0.51;0.28
25;Mikhail Youzhny;RUS;6;6;2;2;52;4.3;30;2.5;0.64;0.69;0.48;0.75;0.41;0.53;0.31;0.52;0.24
26;Jerzy Janowicz;POL;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;Mardy Fish;USA;1;1;0;0;3;1.5;5;2.5;0.52;0.56;0.28;0.38;0.5;0.38;0.3;0.44;0.13
28;Florian Mayer;GER;9;12;3;4;63;3.0;19;0.9;0.58;0.71;0.47;0.72;0.44;0.52;0.31;0.53;0.28
29;Jurgen Melzer;AUT;2;6;2;1;22;2.8;20;2.5;0.63;0.65;0.49;0.69;0.47;0.56;0.29;0.44;0.19
30;Martin Klizan;SVK;5;5;0;2;27;2.7;22;2.2;0.54;0.7;0.5;0.73;0.46;0.52;0.27;0.54;0.26
31;Radek Stepanek;CZE;3;9;1;2;29;2.4;35;2.9;0.62;0.67;0.5;0.76;0.43;0.65;0.33;0.44;0.23
32;Jeremy Chardy;FRA;12;8;3;3;113;5.7;85;4.3;0.54;0.72;0.5;0.78;0.39;0.65;0.32;0.51;0.26
33;Thomaz Bellucci;BRA;17;9;6;3;108;4.2;63;2.4;0.56;0.71;0.51;0.77;0.4;0.58;0.3;0.54;0.28
34;Marcel Granollers;ESP;11;8;1;3;46;2.4;46;2.4;0.65;0.65;0.45;0.69;0.36;0.55;0.35;0.48;0.27
35;Julien Benneteau;FRA;4;3;0;1;28;4.0;23;3.3;0.71;0.7;0.45;0.78;0.38;0.61;0.33;0.49;0.28
36;Marcos Baghdatis;CYP;3;5;0;2;35;4.4;21;2.6;0.56;0.65;0.53;0.74;0.43;0.61;0.31;0.49;0.22
37;Kevin Anderson;RSA;7;6;6;2;136;10.5;46;3.5;0.65;0.75;0.51;0.86;0.34;0.7;0.29;0.47;0.16
38;Viktor Troicki;SRB;8;8;2;2;91;5.7;21;1.3;0.65;0.69;0.46;0.74;0.43;0.59;0.33;0.52;0.28
39;Andy Roddick;USA;0;4;0;1;13;3.3;10;2.5;0.6;0.66;0.42;0.6;0.31;0.33;0.27;0.42;0.11
40;Feliciano Lopez;ESP;8;8;6;4;120;7.5;37;2.3;0.58;0.75;0.55;0.86;0.34;0.73;0.28;0.45;0.13
41;Jarkko Nieminen;FIN;5;7;1;3;28;2.3;25;2.1;0.68;0.64;0.47;0.7;0.41;0.56;0.32;0.5;0.27
42;Pablo Andújar;ESP;11;11;4;4;23;1.0;110;5.0;0.6;0.65;0.48;0.68;0.41;0.52;0.32;0.54;0.3
43;Denis Istomin;UZB;5;10;4;3;62;4.1;17;1.1;0.65;0.65;0.49;0.71;0.43;0.53;0.31;0.48;0.22
