jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
1;Novak Djokovic;SRB;50;5;13;9;317;5.8;93;1.7;0.63;0.75;0.57;0.89;0.48;0.69;0.35;0.58;0.37
2;Roger Federer;SUI;41;7;15;8;378;7.9;77;1.6;0.61;0.79;0.61;0.92;0.44;0.7;0.31;0.5;0.26
3;Andy Murray;GBR;35;10;11;5;320;7.1;110;2.4;0.59;0.73;0.53;0.83;0.42;0.64;0.32;0.56;0.32
4;Rafael Nadal;ESP;17;3;3;3;66;3.3;24;1.2;0.7;0.74;0.55;0.88;0.45;0.71;0.36;0.52;0.32
5;David Ferrer;ESP;33;8;6;6;140;3.4;105;2.6;0.61;0.71;0.56;0.83;0.45;0.61;0.33;0.54;0.31
6;Tomas Berdych;CZE;41;15;13;9;472;8.4;115;2.1;0.58;0.78;0.53;0.87;0.39;0.72;0.29;0.53;0.25
7;Juan Martin  del Potro;ARG;40;12;17;12;421;8.1;114;2.2;0.64;0.76;0.54;0.88;0.41;0.7;0.28;0.53;0.24
8;Jo-Wilfried Tsonga;FRA;36;16;15;9;437;8.4;99;1.9;0.6;0.77;0.53;0.86;0.42;0.7;0.31;0.48;0.23
9;Janko Tipsarevic;SRB;31;18;12;8;347;7.1;114;2.3;0.58;0.75;0.54;0.83;0.41;0.66;0.28;0.51;0.22
10;Richard Gasquet;FRA;27;15;4;6;222;5.3;82;2.0;0.62;0.72;0.56;0.83;0.41;0.6;0.32;0.51;0.28
11;Nicolás Almagro;ESP;18;13;9;16;272;8.8;56;1.8;0.57;0.76;0.57;0.86;0.35;0.68;0.26;0.5;0.2
12;Juan Mónaco;ARG;12;10;3;4;46;2.1;45;2.0;0.66;0.67;0.53;0.77;0.38;0.58;0.32;0.51;0.28
13;Milos Raonic;CAN;33;11;20;15;684;15.5;149;3.4;0.62;0.82;0.54;0.93;0.41;0.75;0.26;0.45;0.16
14;John Isner;USA;27;12;22;10;660;16.9;89;2.3;0.68;0.78;0.56;0.9;0.33;0.66;0.25;0.42;0.12
15;Marin Cilic;CRO;14;10;3;8;154;6.4;79;3.3;0.53;0.73;0.51;0.78;0.36;0.54;0.31;0.53;0.26
16;Gilles Simon;FRA;21;12;6;6;137;4.2;63;1.9;0.59;0.68;0.55;0.78;0.38;0.6;0.33;0.51;0.27
17;Stan Wawrinka;SUI;16;9;6;8;205;8.2;62;2.5;0.53;0.73;0.54;0.81;0.39;0.65;0.31;0.48;0.23
18;Alexandr Dolgopolov;UKR;26;17;7;10;340;7.9;97;2.3;0.54;0.76;0.52;0.81;0.38;0.6;0.31;0.49;0.25
19;Kei Nishikori;JPN;23;11;7;3;75;2.2;75;2.2;0.63;0.68;0.54;0.78;0.38;0.56;0.32;0.53;0.31
20;Philipp Kohlschreiber;GER;20;14;10;8;229;6.7;58;1.7;0.6;0.72;0.54;0.82;0.49;0.65;0.27;0.5;0.22
21;Tommy Haas;GER;16;11;5;3;183;6.8;105;3.9;0.59;0.75;0.5;0.81;0.34;0.65;0.29;0.52;0.24
22;Sam Querrey;USA;28;16;13;5;516;11.7;175;4.0;0.57;0.8;0.5;0.84;0.4;0.62;0.28;0.48;0.2
23;Andreas Seppi;ITA;18;18;5;5;153;4.3;57;1.6;0.6;0.72;0.49;0.77;0.49;0.57;0.28;0.52;0.25
24;Fernando Verdasco;ESP;11;10;4;2;95;4.5;77;3.7;0.65;0.7;0.51;0.81;0.38;0.65;0.3;0.48;0.22
25;Mikhail Youzhny;RUS;20;12;8;9;139;4.3;69;2.2;0.61;0.72;0.53;0.81;0.43;0.62;0.32;0.54;0.28
26;Jerzy Janowicz;POL;8;3;5;2;107;9.7;34;3.1;0.6;0.81;0.58;0.88;0.48;0.6;0.28;0.45;0.18
27;Mardy Fish;USA;17;9;4;6;214;8.2;58;2.2;0.53;0.76;0.55;0.85;0.49;0.67;0.32;0.52;0.28
28;Florian Mayer;GER;9;12;1;4;62;3.0;27;1.3;0.62;0.68;0.54;0.79;0.38;0.63;0.25;0.46;0.18
29;Jurgen Melzer;AUT;16;16;9;6;155;4.8;92;2.9;0.61;0.7;0.52;0.77;0.45;0.58;0.28;0.48;0.2
30;Martin Klizan;SVK;13;7;4;4;64;3.2;63;3.2;0.57;0.69;0.5;0.74;0.52;0.63;0.33;0.55;0.35
31;Radek Stepanek;CZE;17;14;9;6;143;4.6;96;3.1;0.61;0.71;0.51;0.8;0.42;0.64;0.31;0.5;0.24
32;Jeremy Chardy;FRA;10;10;6;3;167;8.4;89;4.5;0.58;0.77;0.51;0.85;0.33;0.72;0.25;0.49;0.17
33;Thomaz Bellucci;BRA;9;11;5;7;143;7.2;58;2.9;0.57;0.71;0.54;0.82;0.34;0.68;0.29;0.46;0.18
34;Marcel Granollers;ESP;11;12;2;2;118;5.1;54;2.3;0.59;0.71;0.48;0.76;0.33;0.57;0.3;0.47;0.2
35;Julien Benneteau;FRA;19;16;10;8;233;6.7;138;3.9;0.64;0.71;0.49;0.78;0.44;0.62;0.3;0.51;0.25
36;Marcos Baghdatis;CYP;26;16;11;7;256;6.1;114;2.7;0.54;0.75;0.53;0.82;0.4;0.59;0.28;0.51;0.22
37;Kevin Anderson;RSA;20;18;11;12;421;11.1;109;2.9;0.62;0.76;0.54;0.85;0.37;0.64;0.28;0.46;0.17
38;Viktor Troicki;SRB;14;17;6;6;237;7.6;66;2.1;0.59;0.71;0.44;0.72;0.41;0.56;0.32;0.5;0.26
39;Andy Roddick;USA;15;9;9;8;244;10.2;50;2.1;0.65;0.76;0.53;0.86;0.38;0.67;0.23;0.48;0.17
40;Feliciano Lopez;ESP;15;16;8;15;321;10.4;125;4.0;0.56;0.77;0.5;0.84;0.36;0.69;0.27;0.44;0.17
41;Jarkko Nieminen;FIN;19;16;9;8;94;2.7;66;1.9;0.68;0.68;0.48;0.77;0.46;0.57;0.29;0.5;0.25
42;Pablo Andújar;ESP;8;16;7;3;49;2.0;106;4.4;0.58;0.64;0.48;0.67;0.4;0.54;0.29;0.52;0.24
43;Denis Istomin;UZB;17;17;6;9;227;6.7;56;1.6;0.63;0.71;0.54;0.81;0.38;0.61;0.29;0.48;0.2
44;Nikolay Davydenko;RUS;18;14;6;2;69;2.2;126;3.9;0.68;0.67;0.49;0.76;0.45;0.62;0.31;0.54;0.29
45;Fabio Fognini;ITA;8;11;5;2;68;3.6;91;4.8;0.59;0.65;0.46;0.68;0.42;0.57;0.29;0.48;0.21
46;David Goffin;BEL;10;7;3;2;65;3.8;84;4.9;0.56;0.69;0.49;0.74;0.35;0.62;0.28;0.52;0.24
47;Benoit Paire;FRA;9;14;4;6;174;7.6;95;4.1;0.51;0.72;0.47;0.71;0.37;0.51;0.31;0.5;0.25
48;Grigor Dimitrov;BUL;10;11;5;10;171;8.1;73;3.5;0.61;0.73;0.52;0.82;0.36;0.64;0.25;0.47;0.17
49;Marinko Matosevic;AUS;13;15;4;4;117;4.2;69;2.5;0.62;0.66;0.49;0.76;0.45;0.66;0.27;0.51;0.21
50;Lukas Lacko;SVK;10;14;4;5;125;5.2;40;1.7;0.6;0.7;0.51;0.76;0.35;0.55;0.27;0.48;0.19
51;Albert Ramos-Vinolas;ESP;9;15;5;8;94;3.9;83;3.5;0.59;0.66;0.51;0.74;0.38;0.59;0.27;0.5;0.21
52;Bernard Tomic;AUS;17;13;6;4;154;5.1;48;1.6;0.66;0.68;0.51;0.79;0.35;0.64;0.27;0.47;0.18
53;Michael Llodra;FRA;11;8;9;4;166;8.7;48;2.5;0.63;0.76;0.53;0.84;0.33;0.64;0.27;0.47;0.14
54;Alejandro Falla;COL;10;16;6;3;71;2.7;55;2.1;0.59;0.63;0.49;0.67;0.45;0.49;0.29;0.52;0.25
55;Grega Zemlja;SLO;10;6;6;0;96;6.0;24;1.5;0.59;0.7;0.49;0.75;0.49;0.64;0.29;0.55;0.25
56;Robin Haase;NED;7;13;1;3;109;5.5;43;2.2;0.56;0.72;0.47;0.73;0.37;0.55;0.28;0.49;0.19
57;Santiago Giraldo;COL;8;8;0;2;37;2.3;22;1.4;0.61;0.67;0.54;0.79;0.41;0.61;0.27;0.48;0.23
58;Go Soeda;JPN;10;12;1;7;50;2.3;43;2.0;0.54;0.67;0.5;0.74;0.36;0.53;0.31;0.47;0.23
59;Paul-Henri Mathieu;FRA;7;10;7;6;103;6.1;71;4.2;0.52;0.76;0.52;0.78;0.37;0.64;0.25;0.48;0.16
60;Yen-Hsun Lu;TPE;8;12;2;5;77;3.9;63;3.2;0.58;0.72;0.49;0.77;0.43;0.59;0.27;0.49;0.21
61;Brian Baker;USA;3;10;4;2;47;3.6;50;3.8;0.62;0.67;0.47;0.7;0.35;0.54;0.27;0.47;0.16
62;Xavier Malisse;BEL;9;16;4;5;154;6.2;59;2.4;0.55;0.73;0.5;0.76;0.35;0.59;0.28;0.47;0.18
63;Paolo Lorenzi;ITA;4;7;0;1;18;1.6;28;2.5;0.58;0.64;0.49;0.66;0.33;0.47;0.26;0.49;0.18
64;Victor Hanescu;ROU;1;4;0;1;15;3.0;4;0.8;0.72;0.61;0.5;0.67;0.55;0.63;0.25;0.4;0.12
65;Benjamin Becker;GER;7;10;2;3;110;6.5;51;3.0;0.56;0.7;0.5;0.76;0.37;0.57;0.25;0.5;0.19
66;Tatsuma Ito;JPN;5;8;3;2;55;4.2;50;3.8;0.55;0.69;0.49;0.69;0.36;0.53;0.28;0.53;0.21
67;Carlos Berlocq;ARG;7;14;2;3;63;3.0;63;3.0;0.64;0.65;0.45;0.68;0.33;0.59;0.31;0.47;0.21
68;Gilles Muller;LUX;14;14;11;12;395;14.1;87;3.1;0.61;0.81;0.49;0.86;0.31;0.67;0.21;0.45;0.11
69;Igor Sijsling;NED;6;7;5;2;106;8.2;26;2.0;0.6;0.76;0.48;0.81;0.41;0.58;0.29;0.38;0.16
70;Ryan Harrison;USA;11;13;2;7;174;7.3;66;2.8;0.6;0.72;0.52;0.79;0.41;0.6;0.29;0.46;0.21
71;Daniel Gimeno-Traver;ESP;3;5;2;2;40;5.0;18;2.3;0.58;0.66;0.53;0.74;0.41;0.53;0.3;0.49;0.19
72;Leonardo Mayer;ARG;5;7;3;4;77;6.4;50;4.2;0.58;0.73;0.5;0.8;0.35;0.63;0.27;0.45;0.16
73;Ivan Dodig;CRO;10;14;9;4;190;7.9;82;3.4;0.56;0.72;0.46;0.74;0.38;0.61;0.31;0.5;0.22
74;Lukas Rosol;CZE;7;10;3;4;105;6.2;40;2.4;0.58;0.71;0.49;0.77;0.39;0.61;0.24;0.48;0.15
75;Lukasz Kubot;POL;11;15;4;7;123;4.7;123;4.7;0.59;0.7;0.48;0.76;0.37;0.62;0.28;0.49;0.21
76;Bjorn Phau;GER;2;7;1;1;32;3.6;41;4.6;0.54;0.67;0.45;0.64;0.33;0.56;0.27;0.48;0.17
77;Guillermo Garcia-Lopez;ESP;10;15;4;3;77;3.1;100;4.0;0.57;0.66;0.49;0.69;0.41;0.6;0.31;0.46;0.23
78;Gael Monfils;FRA;16;7;3;1;170;7.4;109;4.7;0.63;0.72;0.45;0.78;0.4;0.62;0.32;0.53;0.29
79;Andrey Kuznetsov;RUS;0;2;0;0;8;4.0;4;2.0;0.56;0.73;0.46;0.74;0.28;0.56;0.31;0.48;0.19
80;Roberto Bautista Agut;ESP;3;8;0;1;30;2.7;35;3.2;0.6;0.66;0.42;0.64;0.34;0.55;0.32;0.49;0.26
81;David Nalbandian;ARG;7;6;6;2;49;3.8;52;4.0;0.56;0.7;0.53;0.78;0.35;0.61;0.31;0.5;0.22
82;Lleyton Hewitt;AUS;9;7;3;2;101;6.3;66;4.1;0.51;0.72;0.47;0.74;0.43;0.6;0.28;0.5;0.22
83;Simone Bolelli;ITA;2;4;1;1;11;1.8;8;1.3;0.6;0.72;0.5;0.75;0.3;0.47;0.23;0.43;0.08
84;Horacio Zeballos;ARG;0;2;0;1;11;5.5;7;3.5;0.6;0.67;0.49;0.83;0.13;0.73;0.19;0.35;0.04
85;Ruben Ramirez Hidalgo;ESP;2;2;0;0;11;2.8;20;5.0;0.52;0.67;0.51;0.71;0.46;0.46;0.27;0.6;0.25
86;Jurgen Zopp;EST;4;6;0;0;40;4.0;21;2.1;0.58;0.69;0.47;0.74;0.25;0.58;0.26;0.44;0.12
87;Michael Russell;USA;6;8;2;3;41;2.9;55;3.9;0.63;0.64;0.48;0.68;0.44;0.48;0.3;0.51;0.25
88;Filippo Volandri;ITA;0;6;0;1;2;0.3;14;2.3;0.6;0.6;0.47;0.61;0.36;0.51;0.28;0.39;0.17
89;Olivier Rochus;BEL;8;12;5;5;24;1.2;56;2.8;0.59;0.66;0.52;0.72;0.41;0.57;0.24;0.53;0.19
90;Guillaume Rufin;FRA;2;3;3;1;53;10.6;24;4.8;0.52;0.7;0.54;0.78;0.32;0.71;0.21;0.54;0.16
91;Steve Darcis;BEL;10;8;12;2;78;4.3;30;1.7;0.62;0.66;0.54;0.76;0.4;0.58;0.28;0.53;0.24
92;Blaz Kavcic;SLO;3;5;0;4;37;4.6;30;3.8;0.57;0.67;0.42;0.65;0.43;0.53;0.3;0.53;0.28
93;Flavio Cipolla;ITA;11;14;5;3;15;0.6;80;3.2;0.71;0.6;0.46;0.63;0.44;0.57;0.32;0.52;0.29
94;Albert Montanes;ESP;0;3;0;2;8;2.7;16;5.3;0.57;0.64;0.5;0.7;0.4;0.55;0.22;0.47;0.17
95;Tobias Kamke;GER;5;11;1;3;27;1.7;67;4.2;0.55;0.62;0.49;0.63;0.39;0.5;0.34;0.54;0.32
96;Evgeny Donskoy;RUS;0;2;0;0;9;4.5;2;1.0;0.62;0.67;0.55;0.75;0.38;0.59;0.3;0.45;0.18
97;Ivo Karlovic;CRO;14;11;16;9;363;14.5;56;2.2;0.65;0.78;0.52;0.87;0.29;0.66;0.23;0.45;0.11
98;Aljaz Bedene;GBR;3;1;1;1;17;4.3;9;2.3;0.59;0.76;0.45;0.79;0.28;0.65;0.29;0.55;0.23
99;Joao Sousa;POR;2;1;1;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100;Edouard Roger-Vasselin;FRA;7;10;3;3;87;5.1;38;2.2;0.64;0.72;0.5;0.8;0.33;0.58;0.28;0.5;0.2
101;Sergiy Stakhovsky;UKR;12;18;11;11;195;6.5;87;2.9;0.58;0.73;0.52;0.82;0.31;0.67;0.26;0.47;0.14
102;Jesse Levine;CAN;4;12;2;9;71;4.4;58;3.6;0.63;0.68;0.48;0.75;0.41;0.64;0.29;0.49;0.21
103;Matthew Ebden;AUS;15;16;6;3;178;5.7;110;3.5;0.63;0.7;0.46;0.74;0.37;0.56;0.28;0.51;0.22
104;Matthias Bachinger;GER;2;9;1;4;75;6.8;29;2.6;0.58;0.73;0.49;0.77;0.27;0.58;0.24;0.46;0.13
105;Jan Hajek;CZE;0;4;0;1;11;2.8;12;3.0;0.57;0.67;0.44;0.67;0.29;0.62;0.29;0.47;0.15
